date,minimum_temperature_c,maximum_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_km_h,time_of_maximum_wind_gust,x9am_temperature_c,x9am_relative_humidity_percent,x9am_cloud_amount_oktas,x9am_wind_direction,x9am_wind_speed_km_h,x9am_msl_pressure_h_pa,x3pm_temperature_c,x3pm_relative_humidity_percent,x3pm_cloud_amount_oktas,x3pm_wind_direction,x3pm_wind_speed_km_h,x3pm_msl_pressure_h_pa,year,month,day
2019-12-28,24.8,40.6,0,16,11.6,S,35,01:04:00,27.9,25,6,NE,7,1012.8,39.4,14,NA,WSW,13,1010.4,2019,12,28
2019-12-29,17.6,40.4,0,13.8,12.6,SW,33,14:03:00,31.6,25,0,NNE,7,1013.2,39.6,14,NA,W,22,1010.8,2019,12,29
2019-12-30,22.1,42.6,0,14.5,6.2,WNW,74,14:37:00,32.5,23,6,N,13,1007.1,42.3,11,NA,WNW,30,1000.8,2019,12,30
2019-12-31,8.5,25.7,0,14.3,13.1,WNW,46,13:04:00,17.1,50,2,SW,20,1014.7,24.3,32,NA,W,22,1013,2019,12,31
2020-01-01,5.5,28.2,0,9.4,12.8,SW,35,15:28:00,17.8,46,0,S,4,1018.1,27.7,24,NA,WSW,17,1016.2,2020,1,01
2020-01-02,13.2,33.6,0,9.4,NA,ESE,31,20:58:00,18.9,53,1,E,19,1019,31.9,13,NA,NNE,9,1015.5,2020,1,02
2020-01-03,17.3,40.9,0,NA,NA,NNE,44,11:42:00,28.7,18,NA,NE,22,1010.6,39.9,6,NA,NW,15,1004.7,2020,1,03
2020-01-04,18.6,26.8,0,26.2,6.1,WSW,46,07:29:00,19.7,73,7,WSW,22,1013.3,23.4,41,NA,SSE,28,1013.2,2020,1,04
2020-01-05,10.8,15.2,0.4,9.2,NA,SSE,44,05:23:00,11,84,8,SE,15,1022.8,12.1,78,NA,ESE,15,1020.4,2020,1,05
2020-01-06,10.9,28,4.2,1.8,9.6,SE,39,18:40:00,15.2,73,7,E,11,1018.8,26.5,34,NA,SSE,11,1014.9,2020,1,06
2020-01-07,14.5,31.9,0,9.2,12.7,SSE,44,18:16:00,21.8,51,0,E,13,1015.9,29.8,25,NA,NNE,11,1013.2,2020,1,07
2020-01-08,18.2,34.5,0,12,13,SE,43,00:08:00,23.9,33,0,E,17,1016.2,32.5,11,NA,ESE,11,1013.4,2020,1,08
2020-01-09,21.4,40,0,13.6,10.1,NNE,41,15:58:00,25.8,28,0,NE,19,1012.7,38.2,12,NA,NE,19,1007.9,2020,1,09
2020-01-10,21.8,23.8,0,10.8,0.7,WSW,46,13:08:00,23.3,68,NA,WSW,24,1008.9,15.9,90,NA,SW,22,1013.8,2020,1,10
2020-01-11,6.9,25,0.2,4.4,10.8,SW,43,06:41:00,15.3,65,7,SSW,13,1020.8,24.6,28,NA,S,17,1019.3,2020,1,11
2020-01-12,10.8,28.9,0,9.2,13,ESE,39,05:20:00,15.3,62,0,ESE,22,1020.2,26.7,24,NA,E,17,1016.1,2020,1,12
2020-01-13,11.3,34.9,0,9,12.9,W,33,16:14:00,24.8,32,0,ENE,13,1013.2,33.7,12,NA,SSW,17,1010.2,2020,1,13
2020-01-14,19.5,36.4,0,12,13,SE,37,00:07:00,27.4,29,NA,E,7,1012.6,35.6,14,NA,SW,22,1009.5,2020,1,14
2020-01-15,12.7,29.3,0,13.8,12.3,W,44,15:32:00,21,56,3,WSW,9,1010.8,27.7,32,NA,WSW,24,1009.4,2020,1,15
2020-01-16,13,23.5,0,9,10.8,SSE,43,12:13:00,15.4,70,8,SSE,28,1014.8,21.9,35,NA,SSE,22,1012.3,2020,1,16
2020-01-17,9.7,23.9,0,11.8,13.3,SE,57,01:12:00,13.8,53,0,SE,20,1014.4,22.1,24,NA,SE,17,1011.3,2020,1,17
2020-01-18,7.5,29.1,0,7.4,8.6,WSW,39,15:43:00,16.1,75,7,ESE,11,1010.1,26.6,24,NA,NW,11,1006.5,2020,1,18
2020-01-19,10.6,21.5,0,7.2,3.7,SW,41,18:55:00,17.4,65,7,SW,13,1008.1,19.5,50,NA,SW,20,1007,2020,1,19
2020-01-20,14.1,21.5,2.4,4.8,6.7,SSW,39,11:36:00,15.3,85,7,SW,15,1008.8,19.8,63,NA,SW,24,1009.8,2020,1,20
2020-01-21,13.9,28.1,0,6.2,11.3,WNW,41,15:57:00,16.6,63,2,NE,11,1011.5,26.5,26,NA,W,20,1007.2,2020,1,21
2020-01-22,16.6,29.1,0,10.8,6.5,NW,59,09:22:00,26.4,24,7,NNW,20,1000.3,23.9,42,NA,SW,31,999.5,2020,1,22
2020-01-23,13.2,19.6,0,11.5,4.6,W,74,07:03:00,13.9,93,8,W,31,1000.2,17.5,49,NA,SW,28,1005.1,2020,1,23
2020-01-24,6.3,22.9,0.4,3.8,6.6,W,41,14:59:00,15.9,65,6,WSW,17,1013.9,20.6,55,NA,WSW,20,1014.2,2020,1,24
2020-01-25,8,27,0,4.6,13,WSW,37,12:08:00,17.7,71,2,WNW,6,1015.7,25.4,38,NA,SSW,20,1014,2020,1,25
2020-01-26,10.6,30,0,8.6,10.7,SW,35,14:43:00,18.3,79,7,WNW,9,1016.2,28.6,36,NA,W,19,1013.8,2020,1,26
